"YEAR","MONTH","DAY","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","TotalFlights","CancelledFlights","CarrierDelayCnt","WeatherDelayCnt","NASDelayCnt","SecurityDelayCnt","LateAircraftCnt","OnTimeCnt"
2021,1,1,5,"AA",2884,83,171,143,201,4,107,2801
2021,1,1,5,"DL",2387,13,214,47,245,14,82,2374
2021,1,1,5,"UA",2402,193,139,246,253,2,100,2209
2021,1,1,5,"WN",1764,66,185,54,112,0,89,1698
2021,1,2,6,"AA",3629,13,296,35,262,5,222,3616
2021,1,2,6,"DL",3474,4,276,24,238,3,103,3470
2021,1,2,6,"UA",2579,32,222,43,147,2,102,2547
2021,1,2,6,"WN",2741,8,420,7,214,9,339,2733
2021,1,3,7,"AA",3730,22,345,58,336,3,266,3708
2021,1,3,7,"DL",3537,0,447,39,423,0,253,3537
2021,1,3,7,"UA",2657,14,176,30,202,3,104,2643
2021,1,3,7,"WN",2953,7,693,3,271,4,639,2946
2021,1,4,1,"AA",3640,52,213,46,429,3,214,3588
2021,1,4,1,"DL",3474,21,242,19,311,2,148,3453
2021,1,4,1,"UA",2619,20,160,30,161,0,79,2599
2021,1,4,1,"WN",2421,29,215,31,184,1,224,2392
2021,1,5,2,"AA",2510,11,108,12,81,1,43,2499
2021,1,5,2,"DL",2758,1,102,8,78,1,34,2757
2021,1,5,2,"UA",1959,11,50,16,21,2,14,1948
2021,1,5,2,"WN",2398,10,77,1,31,0,33,2388
2021,1,6,3,"AA",2624,4,125,14,153,1,64,2620
2021,1,6,3,"DL",2801,0,72,15,50,1,25,2801
2021,1,6,3,"UA",1990,5,76,49,107,1,34,1985
2021,1,6,3,"WN",2396,6,67,1,50,0,40,2390
2021,1,7,4,"AA",3403,7,82,7,75,2,59,3396
2021,1,7,4,"DL",3189,2,127,23,66,1,28,3187
2021,1,7,4,"UA",2258,3,71,8,35,3,21,2255
2021,1,7,4,"WN",1900,5,44,1,26,0,14,1895
2021,1,8,5,"AA",3554,101,234,117,256,5,204,3453
2021,1,8,5,"DL",3197,6,193,37,274,0,205,3191
2021,1,8,5,"UA",2284,17,76,20,51,0,20,2267
2021,1,8,5,"WN",1900,7,29,11,45,0,31,1893
2021,1,9,6,"AA",2824,2,125,8,69,0,61,2822
2021,1,9,6,"DL",2588,1,112,14,54,0,19,2587
2021,1,9,6,"UA",2154,13,167,10,64,5,42,2141
2021,1,9,6,"WN",1727,1,61,1,49,2,28,1726
2021,1,10,7,"AA",3532,349,186,398,305,2,172,3183
2021,1,10,7,"DL",3190,1,120,18,132,1,41,3189
2021,1,10,7,"UA",2307,17,165,41,161,2,53,2290
2021,1,10,7,"WN",1902,78,140,81,139,1,128,1824
2021,1,11,1,"AA",3403,6,120,12,104,1,78,3397
2021,1,11,1,"DL",3156,5,117,11,75,3,25,3151
2021,1,11,1,"UA",2197,17,70,3,32,13,16,2180
2021,1,11,1,"WN",1898,3,53,0,51,0,30,1895
2021,1,12,2,"AA",2602,0,64,6,87,0,52,2602
2021,1,12,2,"DL",2757,0,87,5,72,2,9,2757
2021,1,12,2,"UA",1918,13,53,3,15,11,20,1905
2021,1,12,2,"WN",1866,6,27,0,21,0,10,1860
2021,1,13,3,"AA",2632,0,92,8,137,3,54,2632
2021,1,13,3,"DL",2792,1,111,12,195,1,69,2791
2021,1,13,3,"UA",1971,10,49,16,64,4,19,1961
2021,1,13,3,"WN",1864,7,155,0,138,0,115,1857
2021,1,14,4,"AA",3406,11,111,14,129,3,65,3395
2021,1,14,4,"DL",3181,7,113,27,86,1,30,3174
2021,1,14,4,"UA",2256,10,60,14,20,3,18,2246
2021,1,14,4,"WN",1896,8,50,4,26,3,25,1888
2021,1,15,5,"AA",3557,26,179,123,377,3,235,3531
2021,1,15,5,"DL",3197,1,114,11,131,2,19,3196
2021,1,15,5,"UA",2289,7,84,12,68,0,36,2282
2021,1,15,5,"WN",1906,13,57,18,65,2,46,1893
2021,1,16,6,"AA",2801,2,86,17,88,3,29,2799
2021,1,16,6,"DL",2586,0,96,9,53,1,17,2586
2021,1,16,6,"UA",2149,8,72,10,58,1,24,2141
2021,1,16,6,"WN",1729,12,40,10,27,0,19,1717
2021,1,17,7,"AA",3341,0,120,19,184,2,89,3341
2021,1,17,7,"DL",2583,0,75,3,60,0,11,2583
2021,1,17,7,"UA",2292,8,104,10,97,0,45,2284
2021,1,17,7,"WN",1914,3,59,0,68,0,45,1911
2021,1,18,1,"AA",3245,3,97,11,104,2,49,3242
2021,1,18,1,"DL",3147,1,97,11,57,3,12,3146
2021,1,18,1,"UA",2228,7,90,8,34,0,20,2221
2021,1,18,1,"WN",1915,4,42,0,24,1,20,1911
2021,1,19,2,"AA",2606,6,81,15,72,1,25,2600
2021,1,19,2,"DL",2773,8,92,18,63,6,13,2765
2021,1,19,2,"UA",1919,7,70,5,48,5,11,1912
2021,1,19,2,"WN",1876,0,29,1,27,1,8,1876
2021,1,20,3,"AA",2632,0,106,5,124,5,31,2632
2021,1,20,3,"DL",2792,0,56,4,62,0,14,2792
2021,1,20,3,"UA",1971,18,52,1,28,17,6,1953
2021,1,20,3,"WN",1862,0,44,0,63,0,15,1862
2021,1,21,4,"AA",3406,2,95,0,80,5,32,3404
2021,1,21,4,"DL",3177,2,54,3,59,2,16,3175
2021,1,21,4,"UA",2236,11,64,6,32,2,12,2225
2021,1,21,4,"WN",1906,1,39,0,27,0,14,1905
2021,1,22,5,"AA",3557,10,134,32,226,4,82,3547
2021,1,22,5,"DL",3198,0,64,15,55,1,12,3198
2021,1,22,5,"UA",2261,23,72,21,45,19,42,2238
2021,1,22,5,"WN",1908,2,29,0,22,1,8,1906
2021,1,23,6,"AA",2826,8,136,35,256,0,71,2818
