"YEAR","MONTH","DAY","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","TotalFlights","CancelledFlights","CarrierDelayCnt","WeatherDelayCnt","NASDelayCnt","SecurityDelayCnt","LateAircraftCnt","OnTimeCnt"
2021,1,1,5,"AA",2884,83,171,143,201,4,107,2801
2021,1,2,6,"AA",3629,13,296,35,262,5,222,3616
2021,1,3,7,"AA",3730,22,345,58,336,3,266,3708
2021,1,4,1,"AA",3640,52,213,46,429,3,214,3588
2021,1,5,2,"AA",2510,11,108,12,81,1,43,2499
2021,1,6,3,"AA",2624,4,125,14,153,1,64,2620
2021,1,7,4,"AA",3403,7,82,7,75,2,59,3396
2021,1,8,5,"AA",3554,101,234,117,256,5,204,3453
2021,1,9,6,"AA",2824,2,125,8,69,0,61,2822
2021,1,10,7,"AA",3532,349,186,398,305,2,172,3183
2021,1,11,1,"AA",3403,6,120,12,104,1,78,3397
2021,1,12,2,"AA",2602,0,64,6,87,0,52,2602
2021,1,13,3,"AA",2632,0,92,8,137,3,54,2632
2021,1,14,4,"AA",3406,11,111,14,129,3,65,3395
2021,1,15,5,"AA",3557,26,179,123,377,3,235,3531
2021,1,16,6,"AA",2801,2,86,17,88,3,29,2799
2021,1,17,7,"AA",3341,0,120,19,184,2,89,3341
2021,1,18,1,"AA",3245,3,97,11,104,2,49,3242
2021,1,19,2,"AA",2606,6,81,15,72,1,25,2600
2021,1,20,3,"AA",2632,0,106,5,124,5,31,2632
2021,1,21,4,"AA",3406,2,95,0,80,5,32,3404
2021,1,22,5,"AA",3557,10,134,32,226,4,82,3547
2021,1,23,6,"AA",2826,8,136,35,256,0,71,2818
2021,1,24,7,"AA",3533,30,194,142,500,3,234,3503
2021,1,25,1,"AA",3401,37,182,86,328,2,129,3364
2021,1,26,2,"AA",2602,19,95,75,233,0,54,2583
2021,1,27,3,"AA",2632,5,95,15,110,3,34,2627
2021,1,28,4,"AA",3406,253,419,15,103,1,73,3153
2021,1,29,5,"AA",3557,35,180,17,338,4,189,3522
2021,1,30,6,"AA",2824,134,160,245,465,1,216,2690
2021,1,31,7,"AA",3531,164,283,275,560,4,284,3367
2021,2,1,1,"AA",3399,285,147,326,216,4,107,3114
2021,2,2,2,"AA",2604,84,108,102,123,2,40,2520
2021,2,3,3,"AA",2634,7,72,8,128,3,23,2627
2021,2,4,4,"AA",3404,68,127,99,233,2,82,3336
2021,2,5,5,"AA",3557,23,126,41,153,4,75,3534
2021,2,6,6,"AA",2824,19,117,39,136,2,45,2805
2021,2,7,7,"AA",3528,29,182,75,308,3,133,3499
2021,2,8,1,"AA",3398,10,147,91,337,6,129,3388
2021,2,9,2,"AA",2601,14,132,46,229,3,78,2587
2021,2,10,3,"AA",2630,38,167,151,371,3,156,2592
2021,2,11,4,"AA",3424,87,280,340,579,6,398,3337
2021,2,12,5,"AA",3599,61,290,164,398,7,264,3538
2021,2,13,6,"AA",2833,81,286,292,495,3,241,2752
2021,2,14,7,"AA",3199,733,213,977,481,6,180,2466
2021,2,15,1,"AA",3420,1142,342,1340,419,5,224,2278
2021,2,16,2,"AA",2606,1001,163,1100,145,0,78,1605
2021,2,17,3,"AA",2641,954,102,1019,113,2,32,1687
2021,2,18,4,"AA",3448,1019,296,1181,510,1,210,2429
2021,2,19,5,"AA",3593,595,281,647,366,2,227,2998
2021,2,20,6,"AA",2851,81,188,102,141,3,71,2770
2021,2,21,7,"AA",3566,33,172,78,180,3,110,3533
2021,2,22,1,"AA",3437,15,159,33,193,0,119,3422
2021,2,23,2,"AA",2606,3,85,6,56,1,26,2603
2021,2,24,3,"AA",2641,0,109,0,76,4,32,2641
2021,2,25,4,"AA",3448,17,188,73,197,2,91,3431
2021,2,26,5,"AA",3593,5,185,15,189,5,95,3588
2021,2,27,6,"AA",2838,19,172,75,214,1,137,2819
2021,2,28,7,"AA",3561,145,353,298,572,6,501,3416
2021,3,1,1,"AA",3437,26,233,29,164,7,125,3411
2021,3,2,2,"AA",2602,0,80,0,39,5,17,2602
2021,3,3,3,"AA",2634,1,87,7,58,0,24,2633
2021,3,4,4,"AA",3951,7,186,8,125,4,87,3944
2021,3,5,5,"AA",4130,9,210,3,146,4,121,4121
2021,3,6,6,"AA",3772,2,173,17,81,2,86,3770
2021,3,7,7,"AA",4012,6,210,1,95,6,115,4006
2021,3,8,1,"AA",4104,2,164,4,84,2,64,4102
2021,3,9,2,"AA",3613,2,107,4,51,4,65,3611
2021,3,10,3,"AA",3688,2,144,9,116,1,64,3686
2021,3,11,4,"AA",4121,2,189,5,182,6,130,4119
2021,3,12,5,"AA",4127,1,223,28,180,4,143,4126
2021,3,13,6,"AA",3775,27,261,48,193,3,125,3748
2021,3,14,7,"AA",4012,83,239,101,156,8,128,3929
2021,3,15,1,"AA",4103,33,251,159,225,6,192,4070
2021,3,16,2,"AA",3613,4,197,17,145,2,103,3609
2021,3,17,3,"AA",3687,267,310,234,879,2,421,3420
2021,3,18,4,"AA",4121,130,450,273,653,5,483,3991
2021,3,19,5,"AA",4128,9,219,13,147,4,96,4119
2021,3,20,6,"AA",3773,1,156,7,96,3,65,3772
2021,3,21,7,"AA",4013,1,157,6,83,1,76,4012
2021,3,22,1,"AA",4103,157,182,223,195,4,129,3946
2021,3,23,2,"AA",3613,4,141,27,113,3,86,3609
2021,3,24,3,"AA",3687,17,163,45,246,6,88,3670
2021,3,25,4,"AA",4121,16,289,105,450,5,264,4105
2021,3,26,5,"AA",4125,4,281,21,222,7,177,4121
2021,3,27,6,"AA",3772,5,246,152,354,7,250,3767
2021,3,28,7,"AA",4021,7,270,83,379,8,223,4014
2021,3,29,1,"AA",4114,1,179,3,114,4,77,4113
2021,3,30,2,"AA",3625,2,116,2,68,6,42,3623
2021,3,31,3,"AA",3700,2,215,18,197,6,127,3698
2021,4,1,4,"AA",4115,2,239,2,177,13,130,4113
2021,4,2,5,"AA",4304,8,208,1,100,3,105,4296
2021,4,3,6,"AA",3906,2,142,4,85,2,62,3904
2021,4,4,7,"AA",4216,4,171,0,71,3,78,4212
2021,4,5,1,"AA",4480,0,192,3,96,6,91,4480
2021,4,6,2,"AA",3760,0,156,6,168,2,68,3760
2021,4,7,3,"AA",3884,0,266,21,345,8,138,3884
2021,4,8,4,"AA",4473,1,183,7,144,10,104,4472
2021,4,9,5,"AA",4485,24,294,112,447,24,252,4461
2021,4,10,6,"AA",4028,36,244,48,232,30,178,3992
