"YEAR","MONTH","DAY","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","TotalFlights","CancelledFlights","CarrierDelayCnt","WeatherDelayCnt","NASDelayCnt","SecurityDelayCnt","LateAircraftCnt","OnTimeCnt"
2021,1,1,5,"DL",2387,13,214,47,245,14,82,2374
2021,1,2,6,"DL",3474,4,276,24,238,3,103,3470
2021,1,3,7,"DL",3537,0,447,39,423,0,253,3537
2021,1,4,1,"DL",3474,21,242,19,311,2,148,3453
2021,1,5,2,"DL",2758,1,102,8,78,1,34,2757
2021,1,6,3,"DL",2801,0,72,15,50,1,25,2801
2021,1,7,4,"DL",3189,2,127,23,66,1,28,3187
2021,1,8,5,"DL",3197,6,193,37,274,0,205,3191
2021,1,9,6,"DL",2588,1,112,14,54,0,19,2587
2021,1,10,7,"DL",3190,1,120,18,132,1,41,3189
2021,1,11,1,"DL",3156,5,117,11,75,3,25,3151
2021,1,12,2,"DL",2757,0,87,5,72,2,9,2757
2021,1,13,3,"DL",2792,1,111,12,195,1,69,2791
2021,1,14,4,"DL",3181,7,113,27,86,1,30,3174
2021,1,15,5,"DL",3197,1,114,11,131,2,19,3196
2021,1,16,6,"DL",2586,0,96,9,53,1,17,2586
2021,1,17,7,"DL",2583,0,75,3,60,0,11,2583
2021,1,18,1,"DL",3147,1,97,11,57,3,12,3146
2021,1,19,2,"DL",2773,8,92,18,63,6,13,2765
2021,1,20,3,"DL",2792,0,56,4,62,0,14,2792
2021,1,21,4,"DL",3177,2,54,3,59,2,16,3175
2021,1,22,5,"DL",3198,0,64,15,55,1,12,3198
2021,1,23,6,"DL",2589,0,108,12,84,0,17,2589
2021,1,24,7,"DL",3188,1,150,20,110,0,35,3187
2021,1,25,1,"DL",3159,19,103,46,73,0,22,3140
2021,1,26,2,"DL",2753,0,90,31,123,1,35,2753
2021,1,27,3,"DL",2795,3,94,9,86,1,22,2792
2021,1,28,4,"DL",3183,8,100,25,111,0,30,3175
2021,1,29,5,"DL",3199,1,143,29,116,1,33,3198
2021,1,30,6,"DL",2588,0,77,12,49,0,18,2588
2021,1,31,7,"DL",3211,64,196,102,241,0,81,3147
2021,2,1,1,"DL",3208,343,116,356,141,0,28,2865
2021,2,2,2,"DL",2819,134,75,136,71,2,16,2685
2021,2,3,3,"DL",2848,3,116,12,86,1,14,2845
2021,2,4,4,"DL",3236,1,156,100,228,1,74,3235
2021,2,5,5,"DL",3250,12,164,69,139,0,75,3238
2021,2,6,6,"DL",2640,0,105,19,82,1,26,2640
2021,2,7,7,"DL",2632,18,130,48,157,0,43,2614
2021,2,8,1,"DL",3202,0,149,35,152,1,32,3202
2021,2,9,2,"DL",2830,0,112,19,122,0,46,2830
2021,2,10,3,"DL",2852,14,117,24,94,2,14,2838
2021,2,11,4,"DL",3245,21,208,86,271,2,123,3224
2021,2,12,5,"DL",3260,12,172,75,181,1,59,3248
2021,2,13,6,"DL",2644,96,221,210,292,3,94,2548
2021,2,14,7,"DL",2643,118,172,219,215,1,85,2525
2021,2,15,1,"DL",3220,358,232,489,371,0,118,2862
2021,2,16,2,"DL",2844,243,236,271,287,0,158,2601
2021,2,17,3,"DL",2864,167,195,184,171,7,45,2697
2021,2,18,4,"DL",3254,330,350,223,403,2,103,2924
2021,2,19,5,"DL",3262,97,217,87,356,3,108,3165
2021,2,20,6,"DL",2652,21,140,16,127,2,38,2631
2021,2,21,7,"DL",3252,5,132,18,105,1,29,3247
2021,2,22,1,"DL",3228,5,89,9,84,1,32,3223
2021,2,23,2,"DL",2830,0,64,7,43,0,15,2830
2021,2,24,3,"DL",2864,0,84,4,40,1,14,2864
2021,2,25,4,"DL",3254,0,93,5,54,2,21,3254
2021,2,26,5,"DL",3262,0,117,17,102,2,41,3262
2021,2,27,6,"DL",2650,1,84,8,94,1,28,2649
2021,2,28,7,"DL",3252,3,152,33,128,2,35,3249
2021,3,1,1,"DL",3228,1,115,4,66,0,22,3227
2021,3,2,2,"DL",3100,0,87,4,39,1,11,3100
2021,3,3,3,"DL",3189,1,99,4,24,0,14,3188
2021,3,4,4,"DL",3625,0,100,4,32,0,19,3625
