"YEAR","MONTH","DAY","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","TotalFlights","CancelledFlights","CarrierDelayCnt","WeatherDelayCnt","NASDelayCnt","SecurityDelayCnt","LateAircraftCnt","OnTimeCnt"
2021,1,1,5,"UA",2402,193,139,246,253,2,100,2209
2021,1,2,6,"UA",2579,32,222,43,147,2,102,2547
2021,1,3,7,"UA",2657,14,176,30,202,3,104,2643
2021,1,4,1,"UA",2619,20,160,30,161,0,79,2599
2021,1,5,2,"UA",1959,11,50,16,21,2,14,1948
2021,1,6,3,"UA",1990,5,76,49,107,1,34,1985
2021,1,7,4,"UA",2258,3,71,8,35,3,21,2255
2021,1,8,5,"UA",2284,17,76,20,51,0,20,2267
2021,1,9,6,"UA",2154,13,167,10,64,5,42,2141
2021,1,10,7,"UA",2307,17,165,41,161,2,53,2290
2021,1,11,1,"UA",2197,17,70,3,32,13,16,2180
2021,1,12,2,"UA",1918,13,53,3,15,11,20,1905
2021,1,13,3,"UA",1971,10,49,16,64,4,19,1961
2021,1,14,4,"UA",2256,10,60,14,20,3,18,2246
2021,1,15,5,"UA",2289,7,84,12,68,0,36,2282
2021,1,16,6,"UA",2149,8,72,10,58,1,24,2141
2021,1,17,7,"UA",2292,8,104,10,97,0,45,2284
2021,1,18,1,"UA",2228,7,90,8,34,0,20,2221
2021,1,19,2,"UA",1919,7,70,5,48,5,11,1912
2021,1,20,3,"UA",1971,18,52,1,28,17,6,1953
2021,1,21,4,"UA",2236,11,64,6,32,2,12,2225
2021,1,22,5,"UA",2261,23,72,21,45,19,42,2238
2021,1,23,6,"UA",2132,24,75,19,41,12,25,2108
2021,1,24,7,"UA",2285,13,122,39,97,4,67,2272
2021,1,25,1,"UA",2179,137,94,134,77,18,20,2042
2021,1,26,2,"UA",1830,65,179,86,250,22,103,1765
2021,1,27,3,"UA",1960,29,98,27,47,10,15,1931
2021,1,28,4,"UA",2234,19,84,10,57,13,22,2215
2021,1,29,5,"UA",2256,13,86,11,46,4,19,2243
2021,1,30,6,"UA",2109,84,83,88,74,4,18,2025
2021,1,31,7,"UA",2279,357,144,345,327,2,106,1922
2021,2,1,1,"UA",2173,315,98,349,163,21,56,1858
2021,2,2,2,"UA",1825,167,69,195,76,18,37,1658
2021,2,3,3,"UA",1957,82,75,98,58,8,38,1875
2021,2,4,4,"UA",2241,187,73,182,119,17,33,2054
2021,2,5,5,"UA",2263,60,101,72,52,1,41,2203
2021,2,6,6,"UA",2134,28,129,58,128,6,24,2106
2021,2,7,7,"UA",2296,100,184,138,191,14,100,2196
2021,2,8,1,"UA",2198,38,174,55,173,20,63,2160
2021,2,9,2,"UA",1905,29,137,64,97,14,71,1876
2021,2,10,3,"UA",1942,30,114,47,149,5,47,1912
2021,2,11,4,"UA",2479,38,375,107,477,0,204,2441
2021,2,12,5,"UA",2586,36,367,82,230,0,190,2550
2021,2,13,6,"UA",2331,110,415,291,495,2,233,2221
2021,2,14,7,"UA",2603,366,429,514,298,1,220,2237
2021,2,15,1,"UA",2575,933,275,1062,296,6,164,1642
2021,2,16,2,"UA",2063,684,153,688,108,5,59,1379
2021,2,17,3,"UA",2130,573,193,599,116,2,45,1557
2021,2,18,4,"UA",2568,777,248,831,337,6,180,1791
2021,2,19,5,"UA",2585,245,206,280,250,2,108,2340
2021,2,20,6,"UA",2333,61,240,46,150,11,92,2272
2021,2,21,7,"UA",2613,34,201,28,189,6,83,2579
2021,2,22,1,"UA",2566,29,132,45,142,11,86,2537
2021,2,23,2,"UA",2044,17,87,12,30,9,30,2027
2021,2,24,3,"UA",2118,12,129,7,50,8,38,2106
2021,2,25,4,"UA",2564,9,155,5,55,4,39,2555
2021,2,26,5,"UA",2583,4,130,8,78,2,53,2579
2021,2,27,6,"UA",2319,20,116,25,98,7,43,2299
2021,2,28,7,"UA",2604,9,176,8,116,3,63,2595
2021,3,1,1,"UA",2556,17,118,2,97,17,40,2539
2021,3,2,2,"UA",2048,18,66,3,20,17,21,2030
2021,3,3,3,"UA",2116,13,74,5,15,11,17,2103
2021,3,4,4,"UA",2713,8,147,7,72,0,30,2705
2021,3,5,5,"UA",2797,13,115,3,60,9,33,2784
2021,3,6,6,"UA",2607,18,85,6,51,12,34,2589
2021,3,7,7,"UA",2792,11,101,8,39,7,46,2781
2021,3,8,1,"UA",2773,29,97,5,61,24,25,2744
2021,3,9,2,"UA",2233,22,46,0,40,17,14,2211
2021,3,10,3,"UA",2317,15,94,9,39,8,18,2302
2021,3,11,4,"UA",2779,6,141,7,85,0,45,2773
2021,3,12,5,"UA",2825,9,148,6,113,1,64,2816
2021,3,13,6,"UA",2675,348,204,397,154,3,72,2327
2021,3,14,7,"UA",2837,798,121,804,102,1,45,2039
2021,3,15,1,"UA",2797,633,193,825,303,4,234,2164
2021,3,16,2,"UA",2245,77,164,82,60,7,50,2168
2021,3,17,3,"UA",2332,16,196,64,222,3,98,2316
2021,3,18,4,"UA",2800,114,242,101,348,1,191,2686
2021,3,19,5,"UA",2841,2,161,3,86,0,71,2839
2021,3,20,6,"UA",2683,6,164,14,82,1,51,2677
2021,3,21,7,"UA",2860,26,150,23,73,1,57,2834
2021,3,22,1,"UA",2792,5,164,9,69,2,43,2787
2021,3,23,2,"UA",2249,5,93,12,65,4,22,2244
2021,3,24,3,"UA",2340,4,119,7,62,2,26,2336
2021,3,25,4,"UA",2809,2,154,14,155,0,63,2807
2021,3,26,5,"UA",2850,2,147,3,109,1,77,2848
2021,3,27,6,"UA",2677,2,214,24,157,4,95,2675
2021,3,28,7,"UA",2780,3,192,17,218,3,96,2777
2021,3,29,1,"UA",2750,5,125,13,156,0,66,2745
2021,3,30,2,"UA",2286,6,119,6,57,4,33,2280
2021,3,31,3,"UA",2366,3,92,11,77,3,28,2363
2021,4,1,4,"UA",2833,0,160,1,117,0,81,2833
2021,4,2,5,"UA",2870,4,129,2,71,2,61,2866
2021,4,3,6,"UA",2703,16,90,3,41,15,24,2687
2021,4,4,7,"UA",2867,7,90,5,47,0,30,2860
2021,4,5,1,"UA",2847,7,106,4,63,5,42,2840
2021,4,6,2,"UA",2170,1,93,6,36,2,15,2169
2021,4,7,3,"UA",2200,0,117,9,134,0,44,2200
2021,4,8,4,"UA",2766,3,120,3,68,2,38,2763
2021,4,9,5,"UA",2800,2,130,11,100,2,36,2798
2021,4,10,6,"UA",2593,4,158,19,140,2,87,2589
2021,4,11,7,"UA",2796,49,157,111,191,0,144,2747
2021,4,12,1,"UA",2786,3,143,4,87,0,62,2783
2021,4,13,2,"UA",2149,2,56,13,51,2,27,2147
2021,4,14,3,"UA",2189,4,110,17,94,0,39,2185
2021,4,15,4,"UA",2746,45,196,79,154,3,67,2701
2021,4,16,5,"UA",2768,4,236,13,149,1,112,2764
2021,4,17,6,"UA",2543,4,118,4,168,5,64,2539
2021,4,18,7,"UA",2749,2,114,2,107,0,52,2747
2021,4,19,1,"UA",2748,54,220,114,252,2,150,2694
2021,4,20,2,"UA",2143,4,85,28,57,2,46,2139
2021,4,21,3,"UA",2192,1,178,15,149,0,45,2191
2021,4,22,4,"UA",2747,0,117,4,51,0,54,2747
2021,4,23,5,"UA",2764,0,153,16,156,0,59,2764
2021,4,24,6,"UA",2544,5,155,82,155,1,151,2539
2021,4,25,7,"UA",2763,2,129,10,83,0,68,2761
2021,4,26,1,"UA",2756,2,112,6,85,0,41,2754
2021,4,27,2,"UA",2147,3,137,69,101,2,72,2144
2021,4,28,3,"UA",2193,1,113,7,79,0,27,2192
2021,4,29,4,"UA",2748,1,128,2,89,1,42,2747
2021,4,30,5,"UA",2760,7,215,68,284,3,145,2753
2021,5,1,6,"UA",2526,4,139,1,139,4,51,2522
2021,5,2,7,"UA",2755,0,189,88,179,0,140,2755
2021,5,3,1,"UA",2750,2,141,14,74,2,45,2748
2021,5,4,2,"UA",2154,1,131,68,171,0,72,2153
2021,5,5,3,"UA",2196,1,79,2,58,0,20,2195
2021,5,6,4,"UA",2791,0,129,13,125,0,48,2791
2021,5,7,5,"UA",2842,0,198,5,155,0,65,2842
2021,5,8,6,"UA",2612,5,175,34,113,3,78,2607
2021,5,9,7,"UA",2854,3,194,20,155,1,79,2851
2021,5,10,1,"UA",2827,3,185,17,100,0,58,2824
2021,5,11,2,"UA",2188,6,130,46,157,0,68,2182
2021,5,12,3,"UA",2248,3,100,15,59,0,35,2245
2021,5,13,4,"UA",2835,1,94,0,53,0,33,2834
2021,5,14,5,"UA",2844,1,156,7,115,0,58,2843
2021,5,15,6,"UA",2625,2,108,8,52,0,55,2623
2021,5,16,7,"UA",2882,6,192,11,123,0,64,2876
2021,5,17,1,"UA",2867,47,211,185,314,0,166,2820
2021,5,18,2,"UA",2551,9,206,24,125,0,86,2542
2021,5,19,3,"UA",2596,1,92,15,81,0,42,2595
2021,5,20,4,"UA",2862,1,167,35,133,0,94,2861
2021,5,21,5,"UA",2897,2,215,9,162,0,62,2895
2021,5,22,6,"UA",2684,5,193,135,170,2,120,2679
2021,5,23,7,"UA",2911,3,260,64,210,0,149,2908
2021,5,24,1,"UA",2895,83,217,255,270,1,194,2812
2021,5,25,2,"UA",2562,10,194,72,141,2,90,2552
2021,5,26,3,"UA",2608,3,163,26,121,1,59,2605
2021,5,27,4,"UA",2898,5,200,10,125,0,79,2893
2021,5,28,5,"UA",2964,3,275,16,262,1,118,2961
2021,5,29,6,"UA",2752,8,157,6,133,3,79,2744
2021,5,30,7,"UA",2957,26,272,102,312,5,197,2931
2021,5,31,1,"UA",2985,4,166,17,90,3,77,2981
2021,6,1,2,"UA",2612,0,185,12,125,0,68,2612
2021,6,2,3,"UA",2630,1,146,69,106,0,67,2629
2021,6,3,4,"UA",3231,38,315,242,476,5,284,3193
2021,6,4,5,"UA",3340,36,405,64,351,12,308,3304
2021,6,5,6,"UA",3222,30,441,63,321,11,298,3192
2021,6,6,7,"UA",3320,86,447,178,398,7,294,3234
2021,6,7,1,"UA",3283,48,429,150,410,11,312,3235
2021,6,8,2,"UA",3056,16,300,65,271,7,153,3040
2021,6,9,3,"UA",3129,21,257,57,285,12,141,3108
2021,6,10,4,"UA",3291,26,349,96,364,7,239,3265
2021,6,11,5,"UA",3341,18,340,36,374,4,231,3323
2021,6,12,6,"UA",3221,24,311,158,317,1,270,3197
2021,6,13,7,"UA",3316,18,466,163,432,0,359,3298
2021,6,14,1,"UA",3285,11,361,36,284,3,243,3274
2021,6,15,2,"UA",3067,10,255,96,224,1,160,3057
2021,6,16,3,"UA",3140,9,281,34,175,1,140,3131
2021,6,17,4,"UA",3303,9,344,46,212,1,208,3294
2021,6,18,5,"UA",3381,11,432,59,383,1,349,3370
2021,6,19,6,"UA",3240,20,419,162,406,1,286,3220
2021,6,20,7,"UA",3364,17,404,50,381,0,256,3347
2021,6,21,1,"UA",3297,97,375,185,536,6,230,3200
2021,6,22,2,"UA",3070,29,287,36,200,0,147,3041
2021,6,23,3,"UA",3146,2,271,78,204,1,160,3144
2021,6,24,4,"UA",3313,48,412,192,578,2,352,3265
2021,6,25,5,"UA",3390,52,534,194,638,1,400,3338
2021,6,26,6,"UA",3244,128,561,403,661,2,546,3116
2021,6,27,7,"UA",3366,41,528,319,548,1,424,3325
2021,6,28,1,"UA",3292,37,532,110,549,4,389,3255
2021,6,29,2,"UA",3071,10,450,128,518,3,312,3061
2021,6,30,3,"UA",3148,15,427,106,445,1,250,3133
2021,7,1,4,"UA",3701,126,635,342,813,0,641,3575
2021,7,2,5,"UA",3758,107,731,261,567,2,605,3651
2021,7,3,6,"UA",3575,87,629,198,544,0,470,3488
2021,7,4,7,"UA",3395,37,377,130,268,0,301,3358
