"YEAR","MONTH","DAY","DAY_OF_WEEK","MKT_UNIQUE_CARRIER","TotalFlights","CancelledFlights","CarrierDelayCnt","WeatherDelayCnt","NASDelayCnt","SecurityDelayCnt","LateAircraftCnt","OnTimeCnt"
2021,1,1,5,"WN",1764,66,185,54,112,0,89,1698
2021,1,2,6,"WN",2741,8,420,7,214,9,339,2733
2021,1,3,7,"WN",2953,7,693,3,271,4,639,2946
2021,1,4,1,"WN",2421,29,215,31,184,1,224,2392
2021,1,5,2,"WN",2398,10,77,1,31,0,33,2388
2021,1,6,3,"WN",2396,6,67,1,50,0,40,2390
2021,1,7,4,"WN",1900,5,44,1,26,0,14,1895
2021,1,8,5,"WN",1900,7,29,11,45,0,31,1893
2021,1,9,6,"WN",1727,1,61,1,49,2,28,1726
2021,1,10,7,"WN",1902,78,140,81,139,1,128,1824
2021,1,11,1,"WN",1898,3,53,0,51,0,30,1895
2021,1,12,2,"WN",1866,6,27,0,21,0,10,1860
2021,1,13,3,"WN",1864,7,155,0,138,0,115,1857
2021,1,14,4,"WN",1896,8,50,4,26,3,25,1888
2021,1,15,5,"WN",1906,13,57,18,65,2,46,1893
2021,1,16,6,"WN",1729,12,40,10,27,0,19,1717
2021,1,17,7,"WN",1914,3,59,0,68,0,45,1911
2021,1,18,1,"WN",1915,4,42,0,24,1,20,1911
2021,1,19,2,"WN",1876,0,29,1,27,1,8,1876
2021,1,20,3,"WN",1862,0,44,0,63,0,15,1862
2021,1,21,4,"WN",1906,1,39,0,27,0,14,1905
2021,1,22,5,"WN",1908,2,29,0,22,1,8,1906
2021,1,23,6,"WN",1730,0,25,0,31,0,12,1730
2021,1,24,7,"WN",1911,0,46,1,50,0,21,1911
2021,1,25,1,"WN",1894,79,42,82,66,0,22,1815
2021,1,26,2,"WN",1862,60,68,61,103,1,39,1802
2021,1,27,3,"WN",1862,5,46,9,88,0,25,1857
2021,1,28,4,"WN",1894,0,42,0,48,0,14,1894
2021,1,29,5,"WN",1894,0,39,0,79,0,30,1894
2021,1,30,6,"WN",1720,28,39,28,30,0,15,1692
2021,1,31,7,"WN",1898,229,154,239,182,0,132,1669
2021,2,1,1,"WN",1894,195,45,199,68,1,26,1699
2021,2,2,2,"WN",1862,69,43,61,45,0,16,1793
2021,2,3,3,"WN",1862,5,40,4,74,0,26,1857
2021,2,4,4,"WN",1898,108,65,108,85,1,41,1790
2021,2,5,5,"WN",1901,11,54,9,47,0,17,1890
2021,2,6,6,"WN",1720,9,79,7,66,1,40,1711
2021,2,7,7,"WN",1904,100,96,103,87,0,62,1804
2021,2,8,1,"WN",1901,0,84,4,120,3,54,1901
2021,2,9,2,"WN",1864,2,50,5,75,0,34,1862
2021,2,10,3,"WN",1866,23,86,32,100,2,57,1843
2021,2,11,4,"WN",1909,62,274,98,257,1,234,1847
2021,2,12,5,"WN",1919,20,225,21,177,7,157,1899
2021,2,13,6,"WN",1779,170,343,191,334,4,300,1609
